Kaunas
Pramonės g. 25
86000001
AAA-111;Lexus;NX;2020-07;2024-05-02;55;7.9
AAB-123;BMW;E36;2014-12;2021-11-12;71.5;16.3
BBB-222;BMW;306;2011-07;2021-12-20;80;10.7
CCC-333;Lexus;LX;2012-01;2023-11-03;65.4;12.6
DDD-444;Volkswagen;Passat;2018-03;2021-10-15;79.9;12.4
EEE-555;Audi;R8;2017-01;2021-10-30;80.3;16.7
FFF-666;Lexus;LX;2018-09;2024-04-20;67;9.6
GGG-777;Volkswagen;Beetle;2013-08;2022-02-15;90.4;11.5
HHH-888;Lexus;IS;2020-07;2021-10-13;68.9;9.9
III-999;Volkswagen;Beetle;2020-07;2026-04-12;60;8.2
