Vilnius
Vilniaus g. 20
86000003
JKL-911;Audi;A3;2004-06;2016-04-12;60;8.2
ZBA-123;Audi;A3;2000-03;2021-11-14;55;7.9
BAB-456;BMW;E36;2014-12;2035-12-12;71.5;16.3
GGE-159;Volvo;850;2008-09;2021-09-20;67;9.6
ENE-861;Volkswagen;Passat;1988-03;2022-09-24;79.9;12.4
FEF-942;Audi;R8;2016-07;2015-07-18;80.3;16.7
CAC-789;Volvo;XC60;2018-07;2022-09-30;80;10.7
AAB-123;BMW;E36;2014-12;2021-11-12;71.5;16.3
DAD-753;Volvo;V40;2010-01;2021-11-03;65.4;12.6
HAH-267;BMW;A4;2008-08;2026-02-15;90.4;11.5
IYI-348;Volvo;Multipla;2006-07;2021-10-14;68.9;9.9
